Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total(g)",Total Fat (g),Cholesterol (mg),Iron (mg),Potassium (mg),Sodium (mg)
"Milk, NFS","Milk, reduced fat",52,3.33,4.83,4.88,2.14,9,0,156,39
"Milk, whole","Milk, whole",61,3.27,4.63,4.81,3.2,12,0,150,38
"Milk, reduced fat (2%)","Milk, reduced fat",50,3.36,4.9,4.89,1.9,8,0,159,39
"Milk, low fat (1%)","Milk, lowfat",43,3.38,5.18,4.96,0.95,5,0,159,39
"Buttermilk, fat free (skim)","Milk, nonfat",40,3.31,4.79,4.79,1.07,4,0.05,151,148
"Buttermilk, whole","Milk, whole",62,3.21,4.88,4.88,3.31,11,0.03,135,105
"Kefir, NS as to fat content","Milk, lowfat",52,3.59,7.48,6.91,0.96,5,0.04,159,38
"Goat's milk, whole","Milk, whole",69,3.56,4.45,4.45,4.14,11,0.05,204,50
Soy milk,Milk substitutes,53,3.41,5.22,4.53,2.05,0,0.52,152,33
"Soy milk, light",Milk substitutes,38,3.55,1.29,0.56,2.12,0,0.54,158,34
"Soy milk, nonfat",Milk substitutes,38,3.55,1.29,0.56,2.12,0,0.54,158,34
"Soy milk, chocolate",Milk substitutes,64,3.35,8.32,7.49,2.03,0,0.55,151,32
"Soy milk, light, chocolate",Milk substitutes,39,3.6,1.46,0.56,2.15,0,0.58,162,34
"Almond milk, sweetened",Milk substitutes,30,0.53,4.31,3.99,1.18,0,0.28,30,58
"Almond milk, unsweetened",Milk substitutes,15,0.55,0.34,0,1.22,0,0.29,31,60
Rice milk,Milk substitutes,47,0.28,9.17,5.28,0.97,0,0.2,27,39
Coconut milk,Milk substitutes,31,0.21,2.92,2.5,2.08,0,0.3,19,19
"Yogurt, NFS","Yogurt, regular",63,5.25,7.04,7.04,1.55,6,0.08,234,70
"Chipotle dip, yogurt based","Dips, gravies, other sauces",189,7.93,3.33,2.97,15.99,16,0.09,119,636
"Onion dip, yogurt based","Dips, gravies, other sauces",160,6.82,4.06,3.38,12.91,14,0.08,126,507
"Ranch dip, yogurt based","Dips, gravies, other sauces",195,8.48,4.13,3.41,16.09,17,0.29,154,646
"Spinach dip, yogurt based","Dips, gravies, other sauces",159,7.02,3.59,3.04,12.96,14,0.21,136,514
Tzatziki dip,"Dips, gravies, other sauces",93,5.35,3.92,2.92,6.31,7,0.14,139,307
"Vegetable dip, yogurt based","Dips, gravies, other sauces",191,8.16,3.76,2.99,16.03,16,0.29,141,641
"Yogurt parfait, low fat, with fruit","Yogurt, regular",84,3.36,15.86,11.68,1.01,3,0.49,189,49
"Frozen yogurt, NFS",Ice cream and frozen dairy desserts,127,3,21.6,19.92,3.6,13,0.46,156,63
"Chocolate milk, NFS","Flavored milk, nonfat",67,3.39,13.46,8.39,0,2,0.27,182,79
"Strawberry milk, NFS","Flavored milk, reduced fat",52,3.34,5.34,5.29,1.9,8,0,157,40
"Strawberry milk, whole","Flavored milk, whole",86,3.03,11.79,11.68,2.97,11,0.03,139,38
"Strawberry milk, reduced fat","Flavored milk, reduced fat",71,3.16,10.7,10.46,1.8,8,0.03,150,39
"Milk, malted","Flavored milk, reduced fat",66,3.19,8.64,7.81,2.05,8,0.71,149,60
Eggnog,Milk shakes and other dairy drinks,88,4.55,8.05,8.05,4.19,59,0.2,165,54
"Whey, sweet, dry",Not included in a food category,353,12.93,74.46,74.46,1.07,6,0.88,2080,1079
"Cream, light",Cream and cream substitutes,195,2.96,3.66,3.67,19.1,59,0.05,136,72
"Cream, half and half",Cream and cream substitutes,131,3.13,4.3,4.13,11.5,35,0.05,132,61
"Cream, heavy",Cream and cream substitutes,340,2.84,2.84,2.92,36.08,113,0.1,95,27
"Cream, whipped","Cream cheese, sour cream, whipped cream",343,2.67,8.59,8.55,33.94,106,0.1,89,26
"Coffee creamer, NFS",Cream and cream substitutes,136,1,11.38,11.38,9.97,0,0.03,191,67
"Dip, NFS","Dips, gravies, other sauces",433,2.24,3.49,2.48,45.84,50,0.35,112,708
"Chipotle dip, regular","Dips, gravies, other sauces",427,1.69,2.7,2.04,45.74,49,0.16,77,699
"Onion dip, regular","Dips, gravies, other sauces",347,1.9,3.56,2.64,36.29,40,0.13,92,556
"Ranch dip, regular","Dips, gravies, other sauces",433,2.24,3.49,2.48,45.84,50,0.35,112,708
"Spinach dip, regular","Dips, gravies, other sauces",346,2.11,3.09,2.3,36.35,40,0.26,102,563
